ID,util,times30dpd,dti,bad
5404,"16,90%",0,"20,00%",0
5405,"19,10%",2,"16,00%",0
5406,"69,90%",3,"52,00%",1
5407,"19,10%",1,"50,00%",0
5408,"25,20%",2,"50,00%",0
5409,"88,20%",0,"42,00%",1
5410,"50,80%",0,"9,00%",0
5411,"70,30%",1,"15,00%",0
5412,"22,00%",0,"16,00%",0
5413,"11,10%",0,"0,00%",0
5414,"66,30%",1,"71,00%",1
5415,"18,00%",2,"33,00%",0
5416,"65,60%",2,"48,00%",0
5417,"13,40%",3,"22,00%",0
5418,"52,70%",0,"39,00%",0
5419,"2,20%",2,"55,00%",0
5420,"57,90%",1,"45,00%",1
5421,"64,40%",2,"46,00%",0
5422,"58,10%",2,"5,00%",0
5423,"17,50%",3,"20,00%",0
5424,"13,40%",1,"24,00%",1
5425,"8,90%",0,"15,00%",0
5426,"7,80%",1,"7,00%",0
5427,"1,40%",0,"36,00%",0
5428,"8,90%",0,"16,00%",0
5429,"7,40%",0,"15,00%",0
5430,"45,40%",0,"33,00%",0
5431,"36,20%",0,"24,00%",0
5432,"76,50%",0,"15,00%",0
5433,"11,30%",1,"20,00%",0
5434,"8,60%",0,"47,00%",1
5435,"23,00%",2,"30,00%",0
5436,"64,70%",0,"55,00%",1
5437,"16,40%",0,"40,00%",0
5438,"13,60%",0,"16,00%",0
5439,"82,20%",3,"29,00%",0
5440,"28,40%",0,"28,00%",0
5441,"53,60%",1,"72,00%",1
5442,"20,20%",0,"37,00%",0
5443,"7,30%",0,"34,00%",0
5444,"88,30%",0,"49,00%",1
5445,"12,30%",0,"28,00%",0
5446,"73,60%",0,"28,00%",1
5447,"41,00%",0,"24,00%",0
5448,"13,60%",2,"36,00%",1
5449,"10,20%",0,"3,00%",0
5450,"16,00%",0,"32,00%",0
5451,"35,00%",0,"25,00%",0
5452,"3,90%",0,"18,00%",0
5453,"70,80%",1,"57,00%",1
5454,"33,80%",2,"23,00%",1
5455,"15,50%",0,"25,00%",0
5456,"60,70%",3,"43,00%",1
5457,"12,40%",0,"25,00%",0
5458,"12,80%",0,"7,00%",0
5459,"49,80%",3,"26,00%",0
5460,"15,40%",0,"10,00%",0
5461,"13,90%",0,"17,00%",0
5462,"82,40%",2,"35,00%",0
5463,"62,40%",0,"21,00%",1
5464,"31,50%",3,"38,00%",1
5465,"58,30%",0,"63,00%",1
5466,"9,30%",0,"30,00%",0
5467,"7,20%",0,"60,00%",0
5468,"22,70%",2,"62,00%",1
5469,"39,40%",0,"23,00%",0
5470,"10,80%",2,"18,00%",0
5471,"26,10%",2,"38,00%",1
5472,"45,80%",0,"17,00%",0
5473,"41,90%",2,"18,00%",0
5474,"47,80%",0,"16,00%",0
5475,"76,40%",3,"44,00%",0
5476,"56,80%",0,"15,00%",0
5477,"85,00%",5,"83,00%",1
5478,"37,30%",3,"40,00%",0
5479,"12,70%",0,"40,00%",0
5480,"12,80%",0,"3,00%",0
5481,"18,30%",1,"7,00%",0
5482,"51,00%",0,"24,00%",0
5483,"46,70%",3,"20,00%",0
5484,"35,40%",0,"30,00%",1
5485,"18,40%",0,"7,00%",0
5486,"84,60%",0,"3,00%",0
5487,"41,00%",0,"28,00%",0
5488,"76,10%",1,"28,00%",1
5489,"68,40%",0,"38,00%",0
5490,"25,00%",0,"66,00%",0
5491,"69,00%",4,"53,00%",1
5492,"8,70%",0,"42,00%",1
5493,"4,00%",0,"15,00%",0
5494,"18,40%",0,"10,00%",0
5495,"48,30%",0,"45,00%",1
5496,"29,50%",1,"57,00%",0
5497,"17,10%",0,"10,00%",0
5498,"42,30%",0,"10,00%",0
5499,"78,60%",1,"42,00%",1
5500,"38,00%",0,"11,00%",0
5501,"18,90%",0,"30,00%",1
5502,"15,20%",0,"27,00%",0
5503,"45,80%",0,"2,00%",0
5504,"31,60%",2,"24,00%",0
5505,"61,00%",2,"49,00%",0
5506,"22,70%",0,"41,00%",0
5507,"62,90%",0,"11,00%",0
5508,"13,40%",1,"24,00%",0
5509,"59,90%",0,"10,00%",0
5510,"42,20%",3,"25,00%",1
5511,"50,90%",2,"11,00%",0
5512,"59,40%",0,"18,00%",0
5513,"97,70%",2,"37,00%",1
5514,"69,70%",1,"39,00%",1
5515,"5,10%",0,"7,00%",0
5516,"22,00%",1,"3,00%",0
5517,"6,70%",2,"5,00%",0
5518,"86,90%",0,"18,00%",0
5519,"17,30%",0,"27,00%",0
5520,"45,10%",0,"23,00%",0
5521,"5,30%",0,"22,00%",0
5522,"10,80%",0,"8,00%",0
5523,"36,30%",0,"28,00%",1
5524,"79,70%",2,"56,00%",1
5525,"12,60%",0,"21,00%",0
5526,"97,60%",1,"37,00%",0
5527,"21,00%",0,"33,00%",0
5528,"6,10%",0,"2,00%",0
5529,"63,80%",0,"15,00%",0
5530,"16,90%",0,"10,00%",0
5531,"60,50%",0,"25,00%",0
5532,"17,90%",0,"38,00%",0
5533,"65,90%",0,"2,00%",0
5534,"14,30%",0,"45,00%",0
5535,"34,30%",1,"25,00%",0
5536,"6,90%",0,"16,00%",0
5537,"20,80%",0,"13,00%",0
5538,"12,50%",0,"20,00%",0
5539,"6,40%",1,"10,00%",0
5540,"70,00%",2,"39,00%",1
5541,"42,40%",2,"12,00%",0
5542,"5,80%",1,"11,00%",1
5543,"6,50%",0,"25,00%",0
5544,"52,80%",0,"30,00%",0
5545,"50,10%",0,"56,00%",0
5546,"60,60%",2,"15,00%",0
5547,"69,00%",2,"60,00%",1
5548,"17,20%",2,"28,00%",0
5549,"11,20%",3,"51,00%",1
5550,"15,20%",0,"40,00%",0
5551,"2,90%",0,"12,00%",0
5552,"14,70%",1,"29,00%",0
5553,"59,70%",0,"12,00%",0
5554,"45,00%",0,"18,00%",0
5555,"13,10%",0,"22,00%",0
5556,"11,90%",2,"2,00%",0
5557,"59,40%",2,"49,00%",0
5558,"27,00%",1,"42,00%",1
5559,"19,40%",1,"20,00%",0
5560,"71,50%",1,"16,00%",0
5561,"68,70%",2,"34,00%",1
5562,"56,90%",2,"4,00%",0
5563,"15,80%",0,"15,00%",0
5564,"74,40%",1,"4,00%",0
5565,"56,40%",2,"7,00%",1
5566,"60,70%",2,"40,00%",1
5567,"73,80%",2,"49,00%",1
5568,"68,90%",2,"52,00%",1
5569,"5,30%",0,"8,00%",0
5570,"17,80%",1,"35,00%",0
5571,"72,20%",0,"13,00%",0
5572,"69,70%",0,"29,00%",0
5573,"67,30%",0,"28,00%",0
5574,"44,30%",1,"36,00%",0
5575,"8,20%",0,"3,00%",0
5576,"23,00%",1,"19,00%",0
5577,"37,00%",0,"30,00%",0
5578,"5,30%",2,"27,00%",0
5579,"8,70%",0,"16,00%",0
5580,"52,50%",0,"23,00%",0
5581,"26,30%",1,"4,00%",0
5582,"11,60%",1,"20,00%",0
5583,"47,00%",0,"41,00%",0
5584,"6,30%",0,"11,00%",0
5585,"11,00%",0,"20,00%",0
5586,"70,70%",1,"24,00%",0
5587,"9,90%",0,"10,00%",0
5588,"7,80%",0,"42,00%",1
5589,"22,60%",1,"40,00%",0
5590,"6,00%",0,"22,00%",0
5591,"7,20%",0,"9,00%",0
5592,"19,80%",0,"1,00%",0
5593,"76,00%",1,"38,00%",0
5594,"67,70%",0,"40,00%",1
5595,"87,30%",3,"38,00%",0
5596,"7,00%",1,"10,00%",0
5597,"25,40%",0,"8,00%",0
5598,"18,50%",1,"19,00%",0
5599,"11,90%",0,"38,00%",0
5600,"9,90%",0,"46,00%",0
5601,"49,40%",0,"20,00%",0
5602,"38,00%",0,"20,00%",0
5603,"0,10%",0,"17,00%",0
5604,"19,00%",0,"40,00%",0
5605,"84,50%",3,"22,00%",1
5606,"50,70%",1,"40,00%",0
5607,"11,50%",0,"8,00%",0
5608,"34,90%",0,"5,00%",0
5609,"14,70%",0,"31,00%",0
5610,"38,70%",0,"25,00%",1
5611,"12,90%",0,"34,00%",0
5612,"10,40%",0,"17,00%",0
5613,"65,00%",1,"31,00%",0
5614,"60,30%",1,"70,00%",1
5615,"29,80%",0,"37,00%",0
5616,"14,20%",0,"25,00%",0
5617,"44,10%",0,"13,00%",0
5618,"7,80%",0,"25,00%",0
5619,"10,10%",0,"8,00%",0
5620,"62,60%",0,"22,00%",0
5621,"13,50%",0,"30,00%",0
5622,"83,30%",2,"18,00%",0
5623,"57,20%",1,"37,00%",1
5624,"64,70%",1,"48,00%",1
5625,"51,80%",0,"16,00%",0
5626,"83,80%",4,"42,00%",1
5627,"59,60%",1,"27,00%",0
5628,"9,30%",2,"21,00%",0
5629,"69,70%",1,"22,00%",1
5630,"35,20%",0,"26,00%",0
5631,"18,60%",0,"32,00%",0
5632,"7,60%",0,"48,00%",0
5633,"9,80%",2,"34,00%",1
5634,"12,30%",0,"7,00%",0
5635,"73,80%",0,"1,00%",0
5636,"56,80%",1,"16,00%",0
5637,"45,20%",3,"21,00%",0
5638,"70,70%",0,"17,00%",0
5639,"7,20%",0,"2,00%",0
5640,"1,80%",1,"27,00%",0
5641,"17,50%",1,"19,00%",0
5642,"5,20%",0,"4,00%",0
5643,"43,40%",0,"33,00%",0
5644,"8,30%",0,"30,00%",0
5645,"36,40%",1,"27,00%",1
5646,"21,00%",3,"49,00%",1
5647,"2,10%",0,"11,00%",0
5648,"81,90%",0,"40,00%",0
5649,"69,00%",2,"40,00%",0
5650,"8,80%",0,"51,00%",0
5651,"0,80%",0,"2,00%",0
5652,"31,60%",0,"37,00%",0
5653,"55,10%",1,"27,00%",0
5654,"43,90%",1,"56,00%",1
5655,"5,70%",3,"8,00%",0
5656,"10,40%",0,"21,00%",0
5657,"22,80%",1,"31,00%",0
5658,"67,00%",0,"11,00%",0
5659,"11,70%",0,"2,00%",0
5660,"13,10%",0,"2,00%",0
5661,"52,20%",2,"32,00%",0
5662,"5,20%",0,"19,00%",0
5663,"50,80%",0,"33,00%",0
5664,"1,30%",0,"15,00%",0
5665,"84,00%",1,"45,00%",0
5666,"11,60%",0,"12,00%",0
5667,"48,60%",0,"25,00%",0
5668,"5,90%",0,"5,00%",0
5669,"94,60%",1,"16,00%",1
5670,"40,50%",0,"6,00%",0
5671,"44,90%",1,"17,00%",1
5672,"17,80%",0,"30,00%",0
5673,"48,90%",0,"24,00%",0
5674,"45,40%",0,"17,00%",0
5675,"7,90%",0,"13,00%",0
5676,"81,50%",2,"57,00%",0
5677,"17,10%",0,"18,00%",0
5678,"32,80%",1,"58,00%",0
5679,"8,10%",0,"53,00%",0
5680,"66,40%",0,"23,00%",0
5681,"33,70%",3,"31,00%",1
5682,"10,70%",0,"21,00%",0
5683,"15,80%",0,"35,00%",0
5684,"42,00%",1,"42,00%",0
5685,"34,60%",0,"20,00%",0
5686,"61,40%",0,"29,00%",0
5687,"6,40%",0,"2,00%",0
5688,"15,70%",0,"59,00%",0
5689,"71,90%",2,"28,00%",0
5690,"3,50%",1,"36,00%",0
5691,"21,10%",2,"15,00%",0
5692,"8,80%",0,"29,00%",0
5693,"64,40%",0,"29,00%",0
5694,"47,00%",0,"58,00%",0
5695,"6,00%",0,"52,00%",0
5696,"33,20%",3,"57,00%",1
5697,"47,40%",1,"20,00%",0
5698,"61,60%",0,"59,00%",0
5699,"40,70%",0,"25,00%",0
5700,"39,00%",0,"55,00%",1
5701,"35,10%",2,"19,00%",0
5702,"30,50%",0,"26,00%",0
5703,"50,20%",2,"55,00%",1
5704,"75,00%",2,"17,00%",0
5705,"80,30%",0,"47,00%",1
5706,"50,90%",1,"59,00%",1
5707,"3,60%",0,"48,00%",0
5708,"98,30%",4,"47,00%",1
5709,"11,10%",1,"30,00%",0
5710,"7,80%",0,"16,00%",0
5711,"65,70%",1,"31,00%",0
5712,"70,60%",2,"36,00%",0
5713,"56,90%",0,"43,00%",0
5714,"28,50%",0,"14,00%",0
5715,"23,20%",0,"28,00%",1
5716,"63,30%",2,"18,00%",0
5717,"5,00%",0,"22,00%",0
5718,"45,00%",3,"31,00%",1
5719,"58,10%",2,"25,00%",0
5720,"55,90%",0,"22,00%",0
5721,"45,00%",2,"8,00%",0
5722,"36,10%",1,"52,00%",0
5723,"6,10%",0,"13,00%",0
5724,"6,40%",0,"6,00%",0
5725,"48,10%",4,"30,00%",1
5726,"57,00%",0,"7,00%",0
5727,"7,10%",0,"11,00%",0
5728,"23,30%",0,"9,00%",0
5729,"97,10%",2,"30,00%",0
5730,"16,70%",1,"15,00%",0
5731,"57,10%",1,"42,00%",0
5732,"16,80%",0,"15,00%",0
5733,"79,30%",2,"21,00%",1
5734,"28,00%",0,"51,00%",0
5735,"54,70%",1,"20,00%",0
5736,"47,00%",0,"29,00%",0
5737,"18,80%",2,"34,00%",0
5738,"4,40%",0,"36,00%",1
5739,"15,90%",1,"41,00%",0
5740,"19,20%",0,"66,00%",1
5741,"58,20%",1,"42,00%",0
5742,"3,50%",0,"28,00%",0
5743,"82,50%",4,"41,00%",1
5744,"15,70%",1,"60,00%",0
5745,"6,20%",0,"13,00%",0
5746,"74,30%",2,"29,00%",1
5747,"31,00%",1,"13,00%",0
5748,"30,40%",0,"25,00%",0
5749,"64,30%",0,"14,00%",0
5750,"29,40%",1,"17,00%",0
5751,"1,50%",0,"10,00%",0
5752,"49,90%",1,"18,00%",0
5753,"22,00%",0,"11,00%",0
5754,"4,60%",0,"25,00%",0
5755,"12,20%",0,"10,00%",0
5756,"1,80%",0,"16,00%",0
5757,"44,60%",0,"25,00%",0
5758,"11,20%",0,"18,00%",0
5759,"10,00%",1,"16,00%",0
5760,"67,70%",4,"62,00%",1
5761,"22,90%",1,"15,00%",0
5762,"54,50%",0,"38,00%",0
5763,"15,10%",0,"14,00%",0
5764,"32,80%",0,"18,00%",0
5765,"28,80%",3,"50,00%",1
5766,"17,10%",1,"35,00%",0
5767,"9,70%",0,"18,00%",0
5768,"46,10%",1,"14,00%",0
5769,"71,40%",1,"16,00%",0
5770,"35,40%",1,"13,00%",0
5771,"30,60%",0,"34,00%",0
5772,"11,10%",1,"51,00%",1
5773,"20,20%",0,"15,00%",0
5774,"18,20%",0,"35,00%",0
5775,"49,70%",0,"14,00%",0
5776,"6,90%",0,"48,00%",0
5777,"14,00%",0,"51,00%",0
5778,"2,80%",0,"26,00%",0
5779,"28,60%",0,"15,00%",0
5780,"34,70%",1,"15,00%",0
5781,"78,00%",4,"52,00%",1
5782,"29,50%",0,"17,00%",1
5783,"3,70%",0,"23,00%",0
5784,"57,50%",0,"36,00%",0
5785,"55,80%",0,"10,00%",0
5786,"76,20%",3,"48,00%",1
5787,"59,40%",2,"13,00%",0
5788,"21,70%",0,"32,00%",0
5789,"67,00%",1,"30,00%",0
5790,"20,00%",0,"47,00%",0
5791,"21,80%",0,"56,00%",0
5792,"59,80%",0,"39,00%",0
5793,"8,40%",2,"44,00%",0
5794,"11,70%",1,"33,00%",1
5795,"39,80%",0,"10,00%",0
5796,"26,50%",0,"1,00%",0
5797,"56,30%",1,"19,00%",0
5798,"10,30%",0,"23,00%",0
5799,"24,90%",0,"26,00%",0
5800,"72,10%",0,"29,00%",0
5801,"60,40%",0,"21,00%",0
5802,"59,40%",3,"28,00%",1
5803,"95,00%",2,"34,00%",1
5804,"61,60%",0,"24,00%",1
5805,"62,60%",0,"14,00%",0
5806,"26,30%",0,"23,00%",0
5807,"51,90%",1,"3,00%",0
5808,"11,60%",0,"5,00%",0
5809,"24,60%",0,"11,00%",0
5810,"9,20%",3,"53,00%",1
5811,"69,10%",0,"47,00%",1
5812,"21,80%",1,"34,00%",0
5813,"55,50%",0,"1,00%",0
5814,"44,00%",2,"77,00%",1
5815,"9,20%",0,"52,00%",0
5816,"66,20%",1,"36,00%",1
5817,"59,70%",0,"38,00%",0
5818,"1,80%",1,"13,00%",0
5819,"12,30%",0,"1,00%",0
5820,"69,80%",3,"27,00%",0
5821,"17,20%",0,"6,00%",0
5822,"59,10%",1,"37,00%",0
5823,"38,30%",0,"65,00%",0
5824,"53,40%",0,"12,00%",0
5825,"3,10%",0,"5,00%",0
5826,"78,90%",1,"24,00%",0
5827,"14,00%",0,"8,00%",0
5828,"36,10%",0,"0,00%",0
5829,"44,80%",4,"33,00%",1
5830,"68,30%",0,"31,00%",0
5831,"43,60%",0,"30,00%",1
5832,"49,50%",4,"39,00%",0
5833,"23,50%",3,"28,00%",1
5834,"5,20%",1,"16,00%",1
5835,"6,60%",0,"9,00%",0
5836,"9,70%",1,"26,00%",1
5837,"34,40%",0,"43,00%",1
5838,"20,80%",2,"47,00%",0
5839,"73,50%",3,"24,00%",0
5840,"76,90%",1,"14,00%",0
5841,"52,70%",2,"30,00%",0
5842,"26,50%",0,"22,00%",0
5843,"11,80%",0,"27,00%",0
5844,"17,80%",2,"57,00%",1
5845,"23,10%",1,"21,00%",1
5846,"58,00%",1,"51,00%",1
5847,"11,20%",0,"16,00%",0
5848,"15,70%",0,"8,00%",0
5849,"52,80%",0,"8,00%",0
5850,"71,20%",0,"37,00%",1
5851,"3,40%",0,"11,00%",0
5852,"31,10%",0,"50,00%",0
5853,"30,50%",0,"7,00%",0
5854,"10,20%",0,"38,00%",0
5855,"52,00%",1,"18,00%",0
5856,"4,30%",0,"46,00%",0
5857,"10,90%",0,"35,00%",0
5858,"12,90%",0,"28,00%",0
5859,"32,20%",0,"45,00%",0
5860,"22,60%",0,"36,00%",0
5861,"64,60%",1,"18,00%",0
5862,"5,40%",0,"27,00%",0
5863,"90,10%",3,"24,00%",0
5864,"12,80%",0,"23,00%",0
5865,"13,20%",1,"28,00%",0
5866,"82,30%",0,"15,00%",0
5867,"34,30%",2,"36,00%",0
5868,"8,40%",1,"20,00%",0
5869,"19,40%",2,"14,00%",0
5870,"16,10%",2,"23,00%",0
5871,"50,20%",0,"33,00%",0
5872,"47,00%",0,"60,00%",0
5873,"34,20%",1,"35,00%",1
5874,"18,80%",4,"46,00%",0
5875,"47,80%",0,"8,00%",0
5876,"21,00%",0,"48,00%",0
5877,"57,30%",1,"33,00%",1
5878,"7,70%",0,"11,00%",0
5879,"5,90%",0,"18,00%",0
5880,"38,90%",2,"37,00%",0
5881,"71,60%",1,"7,00%",0
5882,"69,60%",2,"40,00%",0
5883,"7,40%",0,"13,00%",0
5884,"15,90%",0,"32,00%",0
5885,"17,10%",0,"25,00%",0
5886,"14,10%",0,"57,00%",1
5887,"4,50%",0,"27,00%",0
5888,"48,10%",0,"5,00%",0
5889,"28,60%",0,"39,00%",0
5890,"8,80%",1,"24,00%",0
5891,"62,50%",1,"40,00%",1
5892,"41,70%",3,"27,00%",0
5893,"5,80%",0,"16,00%",0
5894,"72,40%",1,"18,00%",0
5895,"28,80%",0,"38,00%",1
5896,"18,90%",0,"41,00%",0
5897,"27,10%",4,"57,00%",0
5898,"13,40%",0,"17,00%",0
5899,"29,20%",0,"17,00%",0
5900,"78,80%",1,"34,00%",0
5901,"43,40%",0,"35,00%",1
5902,"9,40%",1,"27,00%",0
5903,"42,80%",1,"17,00%",1
5904,"23,40%",0,"22,00%",0
5905,"42,90%",3,"3,00%",0
5906,"46,40%",1,"13,00%",1
5907,"62,00%",3,"24,00%",1
5908,"10,60%",0,"33,00%",0
5909,"63,50%",3,"41,00%",1
5910,"4,50%",2,"12,00%",0
5911,"21,60%",0,"23,00%",0
5912,"28,80%",3,"28,00%",1
5913,"61,30%",0,"28,00%",0
5914,"27,90%",0,"8,00%",0
5915,"21,70%",0,"22,00%",0
5916,"5,40%",0,"23,00%",0
5917,"60,60%",2,"35,00%",0
5918,"47,80%",0,"21,00%",1
5919,"12,40%",1,"18,00%",0
5920,"32,90%",0,"35,00%",0
5921,"16,40%",1,"54,00%",0
5922,"21,10%",1,"23,00%",0
5923,"73,40%",0,"20,00%",0
5924,"26,30%",1,"27,00%",1
5925,"26,40%",0,"16,00%",0
5926,"36,50%",0,"43,00%",0
5927,"23,30%",0,"39,00%",0
5928,"7,50%",0,"28,00%",0
5929,"96,20%",2,"33,00%",1
5930,"26,30%",1,"21,00%",1
5931,"22,90%",1,"22,00%",0
5932,"16,80%",0,"17,00%",0
5933,"27,20%",0,"33,00%",0
5934,"9,00%",0,"42,00%",0
5935,"47,70%",0,"23,00%",0
5936,"70,00%",3,"30,00%",1
5937,"4,00%",0,"31,00%",0
5938,"6,30%",0,"21,00%",0
5939,"44,20%",0,"39,00%",0
5940,"11,70%",2,"29,00%",1
5941,"44,80%",0,"16,00%",0
5942,"53,20%",0,"8,00%",0
5943,"7,00%",0,"44,00%",0
5944,"19,70%",0,"28,00%",0
5945,"99,60%",0,"28,00%",1
5946,"1,40%",0,"12,00%",0
5947,"29,70%",2,"18,00%",1
5948,"58,70%",1,"43,00%",1
5949,"80,90%",3,"38,00%",0
5950,"0,60%",0,"4,00%",0
5951,"66,10%",2,"11,00%",0
5952,"49,10%",0,"21,00%",0
5953,"75,10%",3,"31,00%",1
5954,"47,00%",0,"31,00%",1
5955,"18,80%",3,"32,00%",1
5956,"60,00%",1,"54,00%",1
5957,"51,40%",2,"39,00%",1
5958,"62,20%",4,"16,00%",0
5959,"6,00%",0,"3,00%",0
5960,"31,40%",0,"1,00%",0
5961,"59,80%",1,"16,00%",0
5962,"43,50%",0,"4,00%",0
5963,"29,80%",0,"11,00%",0
5964,"46,00%",0,"22,00%",0
5965,"31,20%",1,"20,00%",0
5966,"54,00%",2,"15,00%",0
5967,"76,30%",0,"19,00%",0
5968,"16,00%",2,"48,00%",0
5969,"2,20%",0,"30,00%",0
5970,"77,50%",1,"19,00%",0
5971,"90,20%",0,"50,00%",0
5972,"43,20%",2,"32,00%",0
5973,"29,10%",1,"13,00%",0
5974,"10,10%",0,"25,00%",0
5975,"22,80%",2,"25,00%",0
5976,"6,50%",2,"33,00%",0
5977,"17,70%",0,"29,00%",0
5978,"12,80%",0,"13,00%",0
5979,"85,20%",2,"7,00%",0
5980,"56,30%",2,"20,00%",0
5981,"33,50%",0,"10,00%",0
5982,"67,80%",2,"42,00%",0
5983,"8,00%",1,"6,00%",0
5984,"42,90%",1,"24,00%",1
5985,"72,10%",0,"21,00%",0
5986,"71,20%",3,"15,00%",0
5987,"44,80%",2,"9,00%",0
5988,"60,10%",0,"51,00%",0
5989,"91,50%",2,"28,00%",1
5990,"22,80%",0,"25,00%",0
5991,"95,10%",2,"67,00%",1
5992,"56,90%",1,"43,00%",0
5993,"13,70%",0,"23,00%",0
5994,"31,30%",0,"22,00%",0
5995,"54,20%",0,"33,00%",0
5996,"70,10%",1,"17,00%",0
5997,"34,50%",0,"3,00%",0
5998,"3,20%",0,"42,00%",1
5999,"73,30%",0,"49,00%",1
6000,"24,20%",1,"40,00%",0
6001,"6,90%",1,"17,00%",1
6002,"29,60%",0,"20,00%",0
6003,"4,20%",0,"15,00%",0
6004,"55,00%",4,"70,00%",1
6005,"16,60%",1,"5,00%",0
6006,"2,60%",0,"2,00%",0
6007,"12,20%",0,"37,00%",0
6008,"47,40%",0,"40,00%",0
6009,"20,70%",0,"4,00%",0
6010,"31,20%",0,"23,00%",0
6011,"66,90%",4,"35,00%",0
6012,"61,20%",0,"18,00%",0
6013,"45,40%",1,"49,00%",1
6014,"18,50%",2,"40,00%",0
6015,"13,20%",0,"35,00%",0
6016,"12,70%",0,"31,00%",0
6017,"6,20%",0,"34,00%",0
6018,"29,70%",0,"35,00%",0
6019,"45,30%",1,"60,00%",1
6020,"60,10%",2,"31,00%",0
6021,"82,40%",0,"35,00%",0
6022,"30,40%",2,"48,00%",1
6023,"7,50%",0,"1,00%",0
6024,"85,30%",0,"42,00%",1
6025,"10,70%",0,"11,00%",0
6026,"2,10%",0,"24,00%",0
6027,"40,40%",0,"26,00%",0
6028,"19,50%",2,"20,00%",0
6029,"0,80%",0,"3,00%",0
6030,"36,20%",0,"45,00%",0
6031,"71,10%",1,"20,00%",1
6032,"61,00%",1,"51,00%",1
6033,"13,20%",0,"19,00%",0
6034,"53,00%",1,"4,00%",0
6035,"8,70%",0,"36,00%",0
6036,"10,50%",1,"8,00%",0
6037,"62,10%",2,"11,00%",0
6038,"3,40%",0,"19,00%",0
6039,"15,20%",0,"13,00%",0
6040,"11,20%",2,"41,00%",0
6041,"85,70%",0,"17,00%",0
6042,"69,10%",3,"45,00%",0
6043,"0,20%",0,"52,00%",0
6044,"47,20%",0,"34,00%",0
6045,"61,70%",0,"11,00%",0
6046,"44,90%",0,"31,00%",0
6047,"7,80%",1,"26,00%",0
6048,"11,40%",0,"33,00%",0
6049,"31,80%",0,"68,00%",1
6050,"46,60%",1,"19,00%",1
6051,"6,20%",0,"21,00%",0
6052,"45,70%",0,"30,00%",0
6053,"22,00%",2,"29,00%",1
6054,"13,70%",2,"18,00%",0
6055,"12,10%",0,"8,00%",0
6056,"21,20%",0,"33,00%",0
6057,"11,00%",0,"31,00%",0
6058,"6,30%",0,"30,00%",0
6059,"7,60%",1,"12,00%",0
6060,"9,60%",0,"41,00%",0
6061,"29,30%",0,"30,00%",0
6062,"67,60%",3,"29,00%",0
6063,"73,40%",0,"1,00%",0
6064,"93,60%",2,"19,00%",0
6065,"58,10%",1,"36,00%",0
6066,"25,70%",0,"16,00%",0
6067,"33,80%",0,"29,00%",0
6068,"3,40%",1,"70,00%",0
6069,"11,30%",0,"18,00%",0
6070,"57,50%",0,"13,00%",0
6071,"13,20%",0,"28,00%",0
6072,"12,90%",0,"5,00%",0
6073,"5,30%",1,"26,00%",0
6074,"11,10%",1,"41,00%",0
6075,"38,50%",0,"59,00%",1
6076,"9,80%",0,"7,00%",0
6077,"14,00%",0,"37,00%",0
6078,"61,10%",1,"11,00%",0
6079,"5,50%",0,"37,00%",0
6080,"21,20%",0,"49,00%",0
6081,"10,20%",1,"58,00%",0
6082,"65,30%",0,"21,00%",0
6083,"40,80%",2,"27,00%",0
6084,"40,90%",1,"15,00%",0
6085,"6,40%",2,"40,00%",0
6086,"59,10%",1,"50,00%",0
6087,"44,70%",4,"69,00%",0
6088,"20,80%",0,"18,00%",0
6089,"42,90%",0,"36,00%",0
6090,"27,80%",1,"9,00%",0
6091,"55,60%",1,"16,00%",0
6092,"54,60%",1,"27,00%",0
6093,"22,40%",3,"10,00%",0
6094,"58,90%",0,"29,00%",0
6095,"75,20%",1,"11,00%",1
6096,"45,10%",1,"24,00%",0
6097,"51,80%",0,"39,00%",0
6098,"45,40%",1,"42,00%",1
6099,"9,40%",0,"29,00%",0
6100,"59,50%",0,"11,00%",0
6101,"4,10%",0,"20,00%",0
6102,"81,70%",4,"23,00%",1
6103,"37,70%",1,"12,00%",0
6104,"35,20%",0,"24,00%",0
6105,"32,60%",0,"27,00%",0
6106,"22,00%",2,"25,00%",0
6107,"29,70%",0,"18,00%",0
6108,"2,50%",0,"19,00%",0
6109,"95,40%",2,"45,00%",1
6110,"63,40%",0,"12,00%",0
6111,"5,90%",0,"2,00%",0
6112,"37,10%",3,"31,00%",1
6113,"29,40%",7,"49,00%",1
6114,"38,20%",0,"2,00%",0
6115,"7,20%",0,"38,00%",1
6116,"31,60%",0,"57,00%",0
6117,"48,30%",1,"17,00%",0
6118,"35,70%",2,"37,00%",0
6119,"64,80%",0,"9,00%",0
6120,"8,40%",1,"36,00%",0
6121,"11,90%",0,"19,00%",0
6122,"35,30%",0,"44,00%",0
6123,"21,30%",0,"30,00%",0
6124,"11,00%",0,"8,00%",0
6125,"9,10%",0,"19,00%",0
6126,"4,30%",0,"32,00%",0
6127,"61,50%",0,"45,00%",0
6128,"13,10%",0,"0,00%",0
6129,"67,90%",0,"25,00%",0
6130,"28,50%",0,"5,00%",0
6131,"26,00%",0,"4,00%",0
6132,"58,20%",3,"81,00%",1
6133,"36,00%",0,"20,00%",0
6134,"41,50%",1,"43,00%",1
6135,"18,70%",0,"15,00%",0
6136,"75,10%",3,"50,00%",1
6137,"16,90%",0,"25,00%",0
6138,"32,70%",2,"28,00%",0
